method1,,,,
,,,,
Points received,Minutes,Seconds,,Ans
,,,,
,,,,
0,4,14,Answered:,"Math.pow(y[0] - reg.predict(x[0]), 2) + Math.pow(y[1] - reg.predict(x[1]), 2) + Math.pow(y[2] - reg.predict(x[2]), 2) > 0"
0,8,21,Answered:,sse > 0
0,12,4,Answered:,getSumSquaredErrors()>=0
0,12,2,Answered:,(sse)
0,8,8,Answered:,sse >= 0
0,6,13,Answered:,y[i] > f(x[i])
0,6,33,Answered:,reg.getSumSquaredErrors() > 0.0
0,12,4,Answered:,Double.isDouble(see)
0.5,12,1,Answered:,reg.getSumSquaredErros() == (((y[0] - reg.predict(x[0]))*(y[0] - reg.predict(x[0])) + ((y[1] - x[1])*(y[1] - x[1]) + ((y[2] - x[2])*(y[2] - x[2]))
0,11,53,Answered:,sse.compareTo(0)==0 || sse > 0
0,12,2,Answered:,reg.getSumSquaredErrors() >= 0.0
0,12,3,Answered:,reg.getSumSquaredErrors()
0,5,15,Answered:,sse >= 0
0,12,2,Answered:,sse >= 0
0,12,2,Answered:,No answer
0,2,27,Answered:,false
0,12,2,Answered:,sse <= (d
0,10,56,Answered:,sse>=0
0,11,34,Answered:,"(Math.pow(y[0] - reg.predict(x[0]), 2) + Math.pow(y[1] - reg.predict(x[1]), 2) + Math.pow(y[2] - reg.predict(x[2]), 2) ) == sse"
0,5,47,Answered:,true
0,7,40,Answered:,sse>=0
0,3,13,Answered:,sse >= 0.0
0,3,17,Answered:,see >= 0.0
0,9,0,Answered:,reg.getSumSquaredErrors()*10000000000>=0.0
0,5,5,Answered:,sse >= 0.0
0,,,Answered:,
0,,,Answered:,
0.5,12,2,Answered:,reg.getSumSquaredErrors() == ((d1 - f(d4))^2 + (d2-f(d5))^2 + (d3-f(d6))^2)
0,5,12,Answered:,sse >= 0.0
0,2,5,Answered:,sse >= 0
0,4,56,Answered:,reg.getSumSquaredErrors() >= 0.0
0,8,37,Answered:,reg.getSumSquaredErrors() >= 0.0
0,3,54,Answered:,true
0,6,31,Answered:,sse < 0.0
0,9,28,Answered:,x.length==y.length
0,2,26,Answered:,reg.getSumSquaredErrors()>= 0.0
0,2,5,Answered:,sse >=0.0
0,4,39,Answered:,true
1,3,14,Answered:,sse >= 0.0 && Math.abs((reg.predict(x[0]) - y[0]) * (reg.predict(x[0]) - y[0]) + (reg.predict(x[1]) - y[1]) * (reg.predict(x[1]) - y[1]) + (reg.predict(x[2]) - y[2]) * (reg.predict(x[2]) - y[2]) - sse) < 1E-10
0,5,0,Answered:,see == 0
0,4,9,Answered:,reg.getSumSquaredErrors() > 0.0
0,9,52,Answered:,reg.getSumSquaredErrors() >= 0.0
0,5,53,Answered:,reg.getSumSquaredErrors() > 0
0,6,51,Answered:,sse >= 0.0
